id,texts,labels,PREPROCESSED_texts
92,"yaklaşık bir ay önce aldım bu ürünü.bez hiç iyi çıkmadı.sızdırma yapıyor,daha önce de almıştım böyle bir şey yok du.ama bu son ürün çok kötü tavsiye etmem",negative,"yaklaşık bir ay önce aldım bu ürünü . bez hiç iyi çıkmadı . sızdırma yapıyor , daha önce de almıştım böyle bir şey yok dü . ama bu son ürün çok kötü tavsiye etmem"
93,oğlumun doğduğundan beri bu markayı kullanıyoruz.  i̇lk defa başımıza geldi. sizdirmasini münferit sandık. ancak son aldığımız kolideki her bez sizdiriyor. çişin çok olmasına da bağlı değil. çok yazık. prima markasının güvenilirliğini zedeliyor.,negative,oğlumun doğduğundan beri bu markayı kullanıyoruz . ilk defa başımıza geldi . sızdırmasını münferit sandık . ancak son aldığımız kolideki her bez sızdırıyor . çişin çok olmasına da bağlı değil . çok yazık . prima markasının güvenilirliğini zedeliyor .
94,yenilenen emici kanallar marka değerini düşürmüş. eski bezlerde torbalanma oluyordu ama kaliteliydi. bu yenilenen bezler bariz kalitesiz ve sızdırıyor.  artık prima almayacağım. i̇lk günden beri prima kullamıyorduk 16 ayın sonunda yollarımız ayrılıyor malesef.,negative,yenilenen emici kanallar marka değerini düşürmüş . eski bezlerde torbalanılmasana oluyordu ama kaliteliydi . bu yenilenen bezler biraz kalitesiz ve sızdırıyor . artık prima almayacağım . ilk günden beri prima kullanıyorduk 16 ayın sonunda yollarımız ayrılıyor maalesef .
95,"yorumlara bakmadan prima kalitesine güvenerek 2 adet sipariş vermiştim, ancak yorumları okuyup ürünü hemen açıp denedik ürün gerçekten rus paketlerinde acayip koku ve incelik var, ürün eski ürünle hiç alakalı bir ürün değil kokusu rahatsız edici nasıl bitireceğiz aldığımız paketi düşünüyoruz, sızdırmama ihtimali kesin var uzun süre özellikle geceleri muhakkak bebeğinizi rahatsız etmek zorunda kalabilirsiniz, hepsi buradanın kargo olayı çok güzel ürün hemen geliyor ancak prima kalitesini acayip bozmuş, yada türkiyeye gönderdiği ürünleri kötü, alırken özellikle bu olumsuzlukları göz önüne getirin...",negative,"yorumlara bakmadan prima kalitesine güvenerek 2 adet sipariş vermiştim , ancak yorumları okuyup ürünü hemen açıp denedik ürün gerçekten rus paketlerinde acayip koku ve incelik var , ürün eski ürünle hiç alakalı bir ürün değil kokusu rahatsız edici nasıl bitireceğiz aldığımız paketi düşünüyoruz , sızdırmama ihtimali kesin var uzun süre özellikle geceleri muhakkak bebeğinizi rahatsız etmek zorunda kalabilirsiniz , hepsiburadanın kargo olayı çok güzel ürün hemen geliyor ancak prima kalitesini acayip bozmuş , yada türkiyeye gönderdiği ürünleri kötü , alırken özellikle bu olumsuzlukları göz önüne getirin ..."
96,maalesef ilk kez eksik not aldı prima bizden. her gece 20 aylık bebeğimin bezi sızdı ve bize büyük sıkıntı çıkardı. önceki bezlere göre daha ince ve kalitesiz. bunu 1 hafta kullandıktan sonra fark ettik. bu da doğal olarak çocuğun uykusuna ve bize büyük sorun yarattı.i̇lginç bir detay; ürünün dış kutusunda rusça yazılar var.,negative,maalesef ilk kez eksik not aldı prima bizden . her gece 20 aylık bebeğimin bezi sızdı ve bize büyük sıkıntı çıkardı . önceki bezlere göre daha ince ve kalitesiz . bunu 1 hafta kullandıktan sonra fark ettik . bu da doğal olarak çocuğun uykusuna ve bize büyük sorun yarattı . ilginç bir detay ; ürünün dış kutusunda rusça yazılar var .
97,uzun suredir kullaniyorum. yenilenen paket berbat cok cok kotu. her sabah ust degistiriyoruz. ortasindan ve on kismindan surekli sizdiriyo. 12 saat degil 5-6 saat bile kuru kalmiyo. alacak olanlara kesinlikle tavsiye etmiyorum. umarim prima urunlerini toplatir,negative,uzun süredir kullanıyorum . yenilenen paket berbat çok çok kötü . her sabah üst değiştiriyoruz . ortasından ve ön kısmından sürekli sızdırıyor . 12 saat değil 5-6 saat bile kuru kalmıyor . alacak olanlara kesinlikle tavsiye etmiyorum . umarım prima ürünlerini toplatır
98,i̇nce sızdırıyor ve kalitesiz ve yapışkan bantları tutmuyor . bir daha almayacağım. ,negative,ince sızdırıyor ve kalitesiz ve yapışkan bantları tutuyor . bir daha almayacağım .
99,bu fiyata prima çok iyi dedim. primadan yana bi sıkıntımız yoktu ancak son yeşil paketler gerçekten kötü. ürün incelmiş çok kokulu ve dahası sırttan sozdırıyor. kutuların üzerinde rusça yazılar var almayın derim.,negative,bu fiyata prima çok iyi dedim . primadan yana bir sıkıntımız yoktu ancak son yeşil paketler gerçekten kötü . ürün incelmiş çok kokulu ve dahası sırttan sızdırıyor . kutuların üzerinde rusça yazılar var almayın derim .
100,ürünü 2 hafda once aldim fiyati iyi yanliz ürün kaliteli değil sizdiriyo ve yapışkanları kopuyor bezlerken ,negative,ürünü 2 hafta önce aldım fiyatı iyi yanlız ürün kaliteli değil sızdırıyor ve yapışkanları kopuyor bezlerken
101,"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, haftada bir kez kesin gece sızdırıyor, sanırım emicilik az veya çocuk fazla idrar yapıyor olabilir (!!!)",negative,"yıllık paketteki bezler ( veya kampanyalı olanlar böyle ) çok ince . gündüzleri değil ama geceleri sızdırıyor . memnun kalmadım primadan , haftada bir kez kesin gece sızdırıyor , sanırım emicilik az veya çocuk fazla idrar yapıyor olabilir ( ! ! ! )"
102,paketinde rusça yazılar yazan kutuların içindeki bezler  ile paketinde tamamen türkçe yazılar yazan kutuların içindeki bezler çok farklı. dışardan gelenler çok daha ince ve anormal ölçüde sızdırıyor. aktif emici kanallı bezler çıkıncaya kadar prima çok süper iş görüyordu ancak bu son ürünlerde sızdırma problemi çok fazla. bu şikayette bulunan kişilere de tamamen katılıyorum.  bebeğimin doğumundan bu yana kullandığımız ürünler son derece kaliteliydi ama  bu son versiyon ürünlerin kalitesizliği prima kalitesine hiç yakışmadı... prima yetkililerinin piyasadaki bu farklı kalitede satılan ürünlere müdahale etmesinii bekliyorum.tüketicisine saygısını göstermeli ve marka değerini korumalıdır...,negative,paketinde rusça yazılar yazan kutuların içindeki bezler ile paketinde tamamen türkçe yazılar yazan kutuların içindeki bezler çok farklı . dışardan gelenler çok daha ince ve anormal ölçüde sızdırıyor . aktif emici kanallı bezler çıkıncaya kadar prima çok süper iş görüyordu ancak bu son ürünlerde sızdırma problemi çok fazla . bu şikayette bulunan kişilere de tamamen katılıyorum . bebeğimin doğumundan bu yana kullandığımız ürünler son derece kaliteliydi ama bu son versiyon ürünlerin kalitesizliği prima kalitesine hiç yakışmadı ... prima yetkililerinin piyasadaki bu farklı kalitede satılan ürünlere müdahale etmesini bekliyorum . tüketicisine saygısını göstermeli ve marka değerini korumalıdır ...
103,memnun değilim yeni primadan sızdırıyor ve kötü kokuyor,negative,memnun değilim yeni primadan sızdırıyor ve kötü kokuyor
104,eski prima daha iyidi  bu sizdiriyor yeşil tabaka li incecik  birde.  ,negative,eski prima daha iyisi bu sızdırıyor yeşil tabakalı incecik birde .
105,yeni yeşil bezler hiç güzel değil çok ince ve hiç bir güven hissi vermemektedir. prima kadar önemli bir firma bu şekilde kötü bir bez seçmesi veya tasarlaması çok kötü bence saygılar,negative,yeni yeşil bezler hiç güzel değil çok ince ve hiç bir güven hissi vermemektedir . prima kadar önemli bir firma bu şekilde kötü bir bez seçmesi veya tasarlaması çok kötü bence saygılar
106,evet yenilendi inceldi bezler eskileri gibi suyu tutmuyor sizdiriyor memnun değiliz bizde ama marketler de aynı ürün var :( eskiden 12 sattı bile sızdırma olmuyordu şimdi 5 saati geçmiyor ,negative,evet yenilendi inceldi bezler eskileri gibi suyu tutuyor sızdırıyor memnun değiliz bizde ama marketler de aynı ürün var :( eskiden 12 sattı bile sızdırma olmuyordu şimdi 5 saati geçmiyor
107,çok kötü hiç bir bebek bezinde bu kadar islakligi dışarı verdiğini görmemiştim hiç bez yok gibi çiş olduğu gibi disarda,negative,çok kötü hiç bir bebek bezinde bu kadar ıslaklığı dışarı verdiğini görmemiştim hiç bez yok gibi çiş olduğu gibi dışarıda
108,yeni oluklu prima eskiye göre ince ve bence eskisi daha kaliteliydi. orjinal olup olmadığı tereddütü bile yaşadık. keşke değiştirmeseydi çok memnunduk ,negative,yeni oluklu prima eskiye göre ince ve bence eskisi daha kaliteliydi . orjinal olup olmadığı tereddüt bile yaşadık . keşke değiştirmeseydi çok memnunduk
109,"son gelen urunden hic memnun kalmadım. bebegimde hic pisik problemi yasamamıstım ki hep prima kullanırım. urunle, serisiyle ilgili bir sıkıntı oldugunu dusunuyorum. ilk gunden itibaren bebegimde cok kotu bir pisik yaptı hala iyilestirmeye calısıyorum. 2 kutu almıstım birini actıgımdan dolayı digerini iade edebildim. tavsiye etmiyorum.",negative,"son gelen üründen hiç memnun kalmadım . bebeğimde hiç pişik problemi yasamamıştım ki hep prima kullanırım . ürünle , serisiyle ilgili bir sıkıntı olduğunu düşünüyorum . ilk günden itibaren bebeğimde çok kötü bir pişik yaptı hala iyileştirmeye çalışıyorum . 2 kutu almıştım birini açtığımdan dolayı diğerini iade edebildim . tavsiye etmiyorum ."
110,kesinlikle kötü. normal pakette satılanlarla aynı değil.,negative,kesinlikle kötü . normal pakette satılanlarla aynı değil .
111,"son aldığımız prima diğerlerinden daha ince ve de kötüsü sızdırıyor. eger prima ürünü bozmadıysa sahte bu. diger türlüde kandırıldık sayılır zaten, prima kalitesi deyip alıyorsun dandik çıkıyor.",negative,"son aldığımız prima diğerlerinden daha ince ve de kötüsü sızdırıyor . eğer prima ürünü bozmadıysa sahte bu . diğer türlüde kandırıldık sayılır zaten , prima kalitesi deyip alıyorsun dandik çıkıyor ."
112,rus malı kalitesiz tavsiye etmiyorum. türkiyedekilerden farklı ve daha ince,negative,rus malı kalitesiz tavsiye etmiyorum . türkiyedekilerden farklı ve daha ince
113,"primanin yeni yeşil logolu bezi tamamen rezalet. sizdiriyor, kağıt gibi hiçbir işe yaramıyor.",negative,"primanın yeni yeşil logolu bezi tamamen rezalet . sızdırıyor , kağıt gibi hiçbir işe yaramıyor ."
114,"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, degistiricez.",negative,"aylık paketteki bezler ( veya kampanyalı olanlar böyle ) çok ince . gündüzleri değil ama geceleri sızdırıyor . memnun kalmadık primadan , değiştireceğiz ."
115,oğlum doğduğundan beri kullanıyorum son aldığımız paket sızdırıyor. aylık paket aldığım için 2 paket almıştım. eski üründen gayet memnundum yenilenen ürün kalitesiz.,negative,oğlum doğduğundan beri kullanıyorum son aldığımız paket sızdırıyor . aylık paket aldığım için 2 paket almıştım . eski üründen gayet memnundum yenilenen ürün kalitesiz .
116,pisik yapiyor sizdiriyor kizartiyor cok bereketsiz koku yapti,negative,pişik yapıyor sızdırıyor kızardırıyor çok bereketsiz koku yaptı
117,değerlendirmede ortalaması iyi olmasına aldanmayın..yapılan güzel yorumlar benim gibi eski üründen dolayı verilmiş puanlardan kaynaklı.. yenisini kardeşim kullandı berbat..kokuyor ve kaçırıyor...marka ivedi bir şekilde kendini yenilemeli..bugüne kadar primadan başka bez kullanmadım..şimdi piyasada eski bezlerden arıyorum...yada başka markaya yöneleceğim..,negative,değerlendirmede ortalaması iyi olmasına aldanmayın . . yapılan güzel yorumlar benim gibi eski üründen dolayı verilmiş puanlardan kaynaklı . . yenisini kardeşim kullandı berbat . . kokuyor ve kaçırıyor ... marka ivedi bir şekilde kendini yenilemeli . . bugüne kadar primadan başka bez kullanmadım . . şimdi piyasada eski bezlerden arıyorum ... yada başka markaya yöneleceğim . .
118,i̇ki kez sipariş verdim ilk gelen bez cok iyiydi ama son gelen bez çok inceydi ,negative,iki kez sipariş verdim ilk gelen bez çok iyiydi ama son gelen bez çok inceydi
119,"prima kalitesine hiç yakışmayan bir bez üretmişsiniz, artık başka markaya geçeceğiz.  çiş devamlı üstüne çıkıyor, her gece üst baş değişiyoruz. çok yazık.",negative,"prima kalitesine hiç yakışmayan bir bez üretmişsiniz , artık başka markaya geçeceğiz . çiş devamlı üstüne çıkıyor , her gece üst baş değişiyoruz . çok yazık ."
120,prima rusca yazan paketindeki urunler feci sizdiriyor ve cocugu rahatsiz ediyor. daha once aldigim urunler daha kalin ve sizdirmiyordu. istedigim urun satisa sunulmayana kadar alisveris yapmayi dusunmuyorum.,negative,prima rusça yazan paketindeki ürünler feci sızdırıyor ve çocuğu rahatsız ediyor . daha önce aldığım ürünler daha kalın ve sızdırmıyordu . istediğim ürün satışa sunulmayana kadar alışveriş yapmayı düşünmüyorum .
121,"acilen tüm ürünlerinizi toplatın lütfen, paramıza yazık olmasın diye mecbur kullandık ama hep dışarı sızdırıyor, hiç olmadı yakışmadı size prima yetkilileri....",negative,"acilen tüm ürünlerinizi toplatsanıza lütfen , paramıza yazık olmasın diye mecbur kullandık ama hep dışarıya sızdırıyor , hiç olmadı yakışmadı size prima yetkilileri ... ."
122,berbat bebeğimin altı hep nemli kalıo bulursanız eskisini alın derim resmen hayal kırıklığı 12saate kadar kuruluk diyor ama emin olun 2 çişte sızıo ve ıslanıo kıyafetleri üretim hatası olmuş resmen bir daha da prima almam ,negative,berbat bebeğimin altı hep nemli kalır bulursanız eskisini alın derim resmen hayal kırıklığı 12saate kadar kuruluk diyor ama emin olun 2 çiste sizin ve ıslanıp kıyafetleri üretim hatası olmuş resmen bir daha da prima almam
123,kızım 20 aylık oldu. bu zaman kadar bir sıkıntım yoktu. yeni gelen koliden çıkan bezler ince ve rahatsız edici pişik yapmaya başladı. son iki koli aldım bin pişman oldum aldığıma. gidin en kötü bezi kullanın bunu almayın şiddetle tavsiye etmiyorum haberiniz olsun,negative,kızım 20 aylık oldu . bu zaman kadar bir sıkıntım yoktu . yeni gelen koliden çıkan bezler ince ve rahatsız edici pişik yapmaya başladı . son iki koli aldım bin pişman oldum aldığıma . gidin en kötü bezi kullanın bunu almayın şiddetle tavsiye etmiyorum haberiniz olsun
124,bebegimin butun bezlerini hb dan aldim hepsi bugune kadar superdi fakat bu son paket com sıkıntıli devamli arkadan sizdiriyor esim herseferinde ustbas degistirmek zorunda kaliyor bir koli bez cop olacak bi gidisle bir an once hb buna cozum bulursa seviniriz bu urunu satistan cikartmaniz dilegiyle,negative,bebeğimin bütün bezlerini hb dan aldım hepsi bugüne kadar süperdi fakat bu son paket çömsene sıkıntılı devamlı arkadan sızdırıyor eşim her seferinde üstbas değiştirmek zorunda kalıyor bir koli bez çöp olacak bir gidişle bir an önce hb buna çözüm bulursa seviniriz bu ürünü satıştan çıkartmanız dileğiyle
125,yeni ürünler daha emici diye reklam yapılıyor ama eskisine nazaran daha çok sızdırıyor. kullanım ve rahatlık olarak eskilerinden daha iyi ama sızdırmazlık kötü. ,negative,yeni ürünler daha emici diye reklam yapılıyor ama eskisine nazaran daha çok sızdırıyor . kullanım ve rahatlık olarak eskilerinden daha iyi ama sızdırmazlık kötü .
126,son aldığım 2 koli prima mega box  5 numara ürünleri kalitesiz çıktı.ürün rusya yapımı prima kalitesi ile alakası yok içindeki emici zerreciklerin az olması bezin ince olması ambalajın ince olması ve en önemlisi ıslaklığı hemen dışa vermesi emici özelliği hiç yok.bu rusya yapımı ürünleri bence daha satılmamalı ve toplatılmalı ben şim di bu ay prima almayıp başka bir marka alacağım işin açıkcası...teşekkürler.,negative,son aldığım 2 koli prima mega box 5 numara ürünleri kalitesiz çıktı . ürün rusya yapımı prima kalitesi ile alakası yok içindeki emici zerreciklerin az olması bezin ince olması ambalajın ince olması ve en önemlisi ıslaklığı hemen dışa vermesi emici özelliği hiç yok . bu rusya yapımı ürünleri bence daha satılmamalı ve toplatınmalı ben şimdi bu ay prima almayıp başka bir marka alacağım işin açıkçası ... teşekkürler .
