id,texts,labels,PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,KEYWORDS_PREPROCESSED_texts,KEYWORDS_texts
63,"prima da sızdırırsa artık ne alacaz bilemedim , 2 paket aldık bi de :(((",negative,prima da sızdırırsa artık ne alacağız bilemedim paket aldık bir de,46,"[('sızdırırsa artık', 4.0), ('prima', 1.0)]","[('sızdırırsa artık', 4.0), ('alacaz bilemedim', 4.0), ('prima', 1.0)]"
64,cocugumuz 2 yasinda ve dogdugu gunden beri prima kullaniyorduk..ta ki radikal bir karar verip fiyat rekabeti icin kalitenizden odun verene kadar..bu urun prima kalitesine yakismiyor..,negative,çocuğumuz yaşında ve doğduğu günden beri prima kullanıyordukta ki radikal bir karar verip fiyat rekabeti için kalitenizden odun verene kadarbu ürün prima kalitesine yakışmıyor,17,"[('çocuğumuz yaşında', 4.0), ('radikal', 1.0)]","[('cocugumuz 2 yasinda', 4.0), ('radikal', 1.0)]"
65,ne yazıkki artık bezinizi almayacağım. çünkü sürekli sızdırma problemi oldu. i̇lk sızdırdığında bildirdim firmaya döndüler hemen yeni bezde gönderdiler ama bi şey değişmedi. artık prima kullanmayacağım. eski hali daha iyiydi bu bezin ilgililere duyurun lütfen.,negative,ne yazık ki artık bezinizi almayacağım çünkü sürekli sızdırma problemi oldu ilk sızdırdığında bildirdim firmaya döndüler hemen yeni bezde gönderdiler ama bir şey değişmedi artık prima kullanmayacağım eski hali daha iyiydi bu bezin ilgililere duyurun lütfen,29,"[('artık bezinizi almayacağım', 9.0), ('yazık', 1.0), ('iyiydi', 1.0)]","[('bi şey değişmedi', 9.0), ('artık prima kullanmayacağım', 9.0), ('eski hali', 4.0), ('iyiydi', 1.0)]"
66,primanin indirimli bezlerinde kalite hataları var! o kadar sizdiryor ki her seferinde çocuğun giysilerini de değiştirmek gerekiyor!,negative,primanın indirimli bezlerinde kalite hataları var o kadar sızdırıyor ki her seferinde çocuğun giysilerini de değiştirmek gerekiyor,19,"[('seferinde çocuğun giysilerini', 9.0), ('değiştirmek gerekiyor', 4.0)]","[('o kadar sizdiryor', 9.0), ('seferinde çocuğun giysilerini', 9.0), ('değiştirmek gerekiyor', 4.0)]"
67,i̇yi güzel,negative,iyi güzel,0,"[('iyi güzel', 4.0)]","[('i̇yi güzel', 4.0)]"
68,prima daha oncede kullandim ama bu kadar kalitesiz bir prima kullanmadik.yapistirma yeri kopuyor.hemen doluyor kalite sifir.tavsiye etmiyorum kimseye,negative,prima daha öncede kullandım ama bu kadar kalitesiz bir prima kullanmadıkyapıştırma yeri kopuyorhemen doluyor kalite sıfırtavsiye etmiyorum kimseye,42,"[('öncede kullandım', 4.0), ('kadar kalitesiz', 4.0), ('prima', 1.0)]","[('yapistirma yeri kopuyor', 9.0), ('tavsiye etmiyorum kimseye', 9.0), ('oncede kullandim', 4.0), ('kadar kalitesiz', 4.0), ('prima kullanmadik', 3.5), ('prima', 1.5)]"
69,sanki piyasadaki en kötü ürün gibi bir havası var. 3 yıldır kullanıyoruz prima artık tanınacak halde değil. başka markalarda arayışa başladık bile,negative,sanki piyasadaki en kötü ürün gibi bir havası var yıldır kullanıyoruz prima artık tanınacak halde değil başka markalarda arayışa başladık bile,49,"[('kötü ürün', 4.0), ('piyasadaki', 1.0)]","[('kötü ürün', 4.0), ('havası var', 4.0), ('piyasadaki', 1.0)]"
70,emici kanallar hiçte emici değil. nerdeee eski prima kalitesi.. maalesef bu yeni primayı hiç beğenmedim,negative,emici kanallar hiçte emici değil nerdeee eski prima kalitesi maalesef bu yeni primayı hiç beğenmedim,48,"[('yeni primayı', 4.0), ('beğenmedim', 1.0)]","[('yeni primayı', 4.0), ('maalesef', 1.0), ('beğenmedim', 1.0)]"
71,primayı 1 yıldan fazla kullandık ta ki  eylül ayına kadar eylül ayından sonra kaliteyi çok düşürdüler.ne demek istediğimi anlamak için bu bezin ocak ayından bu güne kadar  çok kötü yorumları okumanızı tavsiye ederim...,negative,primayı yıldan fazla kullandık ta ki eylül ayına kadar eylül ayından sonra kaliteyi çok düşürdülerse demek istediğimi anlamak için bu bezin ocak ayından bu güne kadar çok kötü yorumları okumanızı tavsiye ederim,23,"[('bezin ocak ayından', 9.0), ('güne kadar', 4.0)]","[('demek istediğimi anlamak', 9.0), ('bezin ocak ayından', 9.0), ('güne kadar', 4.0), ('düşürdüler', 1.0)]"
72,yeni üretilen bezler incelmiş sanki. sürekli sızdırıyor. elimdekiler bitince farklı marka tercih edeceğim.,negative,yeni üretilen bezler incelmiş sanki sürekli sızdırıyor elimdekiler bitince farklı marka tercih edeceğim,44,[],"[('sürekli sızdırıyor', 4.0)]"
73,çok incelmiş. sızdırıyor. bildiğimiz prima değil... üzgünüm ama tavsiye etmiyorum... aldığıma pişman oldum...,negative,çok incelmiş sızdırıyor bildiğimiz prima değil üzgünüm ama tavsiye etmiyorum aldığıma pişman oldum,48,[],"[('bildiğimiz prima değil', 9.0), ('aldığıma pişman oldum', 9.0), ('tavsiye etmiyorum', 4.0), ('incelmiş', 1.0), ('sızdırıyor', 1.0), ('üzgünüm', 1.0)]"
74,"sadece 1 numara bezde sorun yaşamadik, 2 ve 3 beden bezler çok kötü, hem sizdiriyor hem son dönemde pi̇şi̇k yapti, son paket bi̇tsi̇n bi̇r daha asla..",negative,sadece numara bezde sorun yaşamadık ve beden bezler çok kötü hem sızdırıyor hem son dönemde pi̇si̇k yaptı son paket bi̇tsi̇n bir daha asla,22,"[('beden bezler', 4.0), ('kötü', 1.0), ('sızdırıyor', 1.0), ('asla', 1.0)]","[('3 beden bezler', 4.0), ('kötü', 1.0), ('sizdiriyor', 1.0), ('asla', 1.0)]"
75,premium careden sonra fiyatı uygun diye kullanmaya başladık ama kızımda pişik ve mantar oluşumuna neden oldu. kimseye önermem berbat,negative,premium çareden sonra fiyatı uygun diye kullanmaya başladık ama kızımda pişik ve mantar oluşumuna neden oldu kimseye önermem berbat,10,"[('kullanmaya başladık', 4.0), ('kızımda pişik', 4.0), ('mantar oluşumuna', 4.0)]","[('kimseye önermem berbat', 9.0), ('kullanmaya başladık', 4.0), ('kızımda pişik', 4.0), ('mantar oluşumuna', 4.0), ('oldu', 1.0)]"
76,arkadaşlar uzun zamandır bunu kullanıyorum fakat kalitesinde bi değişim oldu sızdırmaya başladı fakat bu hepsi burada ya özel bisi değil marketten vs yerden alincada aynı. bilmiyorum böyle düşünen varmı. ,negative,arkadaşlar uzun zamandır bunu kullanıyorum fakat kalitesinde bir değişim oldu sızdırmaya başladı fakat bu hepsi burada ya özel bir şey değil marketten vs yerden Alina'da aynı bilmiyorum böyle düşünen var mı,24,"[('arkadaşlar uzun zamandır', 9.0), ('kullanıyorum fakat kalitesinde', 9.0), ('burada', 1.0), ('özel', 1.0)]","[('arkadaşlar uzun zamandır', 9.0), ('burada', 1.0)]"
77,markette satılanlardan daha sert gibi sanki bunu anlayamadım tabi. ancak fiyatı fena değil . alınabilir tavsiye ederim. memnunuz ,negative,markette satılanlardan daha sert gibi sanki bunu anlayamadım tabi ancak fiyatı fena değil alınabilir tavsiye ederim memnunuz,28,"[('markette satılanlardan', 4.0), ('sert', 1.0)]","[('alınabilir tavsiye ederim', 9.0), ('markette satılanlardan', 4.0), ('anlayamadım tabi', 4.0), ('sert', 1.0), ('memnunuz', 1.0)]"
78,oğlum doğduğundan beri kullanıyorum.çok memnundum. ama bu yenilenen prima çok kötü.her gece kıyafet değiştiriyoruz.kullanmayı bilmiyorlar diye yazanlara söylüyorum 20 aydır kullanıyoruz .,negative,oğlum doğduğundan beri kullanıyorumçok memnundum ama bu yenilenen prima çok kötüler gece kıyafet değiştiriyoruzkullanmayı bilmiyorlar diye yazanlara söylüyorum aydır kullanıyoruz,46,"[('yenilenen prima', 4.0)]","[('gece kıyafet değiştiriyoruz', 9.0), ('yenilenen prima', 4.0), ('kullanmayı bilmiyorlar', 4.0), ('memnundum', 1.0), ('kötü', 1.0)]"
79,kesinlike kaliteyi sıfırlamışlar.hem sızdırıyor hemde çırtlı yeri açılıyor.,negative,kesinlikle kaliteyi sıfırlamışlarhem sızdırıyor hem de cırtlı yeri açılıyor,49,"[('cırtlı yeri açılıyor', 9.0)]","[('kesinlike kaliteyi sıfırlamışlar', 9.0)]"
80,yaklaşık 2 yıldır kullanıyorum.bu zamana kadar hiç şikayetim yoktu.son aldığım bez berbat.sızdırıyor.kalite düşmüş.tavsiye etmiyorum.,negative,yaklaşık yıldır kullanıyorumbu zamana kadar hiç şikayetim yoktuson aldığım bez berbatsızdırıyorkalite düşmüştavsiye etmiyorum,46,[],"[('zamana kadar', 4.0), ('şikayetim yoktu', 4.0), ('kalite düşmüş', 4.0), ('tavsiye etmiyorum', 4.0), ('sızdırıyor', 1.0)]"
81,"son aldığım bezler sızdırıyor,eskiden aldıklarım böyle değildi.",negative,son aldığım bezler sızdırıyoreskiden aldıklarım böyle değildi,25,[],[]
82,uzun zamandır kullanıyoruz. çok sıkıntı yaşamadık. tavsiye ederim...,negative,uzun zamandır kullanıyoruz çok sıkıntı yaşamadık tavsiye ederim,16,"[('uzun zamandır kullanıyoruz', 9.0)]","[('uzun zamandır kullanıyoruz', 9.0), ('sıkıntı yaşamadık', 4.0), ('tavsiye ederim', 4.0)]"
83,hiç eskisi gibi değil. artık sızdırıyor. neden böyle incelttiler anlamıyorum. herhalde para meselesi,negative,hiç eskisi gibi değil artık sızdırıyor neden böyle incelttiler anlamıyorum herhalde para meselesi,13,"[('değil artık sızdırıyor', 9.0), ('eskisi', 1.0)]","[('böyle incelttiler anlamıyorum', 9.0), ('herhalde para meselesi', 9.0), ('artık sızdırıyor', 4.0), ('eskisi', 1.0), ('değil', 1.0)]"
84,"""son aldığım bez sızdırıyor"" ....  çok yazık !!!  böyle büyük bir firmanın hatalı ürünlerini piyasaya sürmesi akıl alır gibi değil.. ",negative,son aldığım bez sızdırıyor çok yazık böyle büyük bir firmanın hatalı ürünlerini piyasaya sürmesi akıl alır gibi değil,25,"[('yazık böyle büyük', 9.0), ('değil', 1.0)]","[('böyle büyük', 4.0), ('yazık', 1.0), ('değil', 1.0)]"
85,eskiden çok kaliteliydi. aama şuan üretilenler berbat. eski ürünler kalın ve muhteşem emicilik ve kuruluk saglıyordu. şuan üretilenler çok ince ve her çiş sızdırıyor. her çiş yapışından sonra bezle birlikte kıyafet te degişiyoruz. eski kalitesine dönmedigi sürece bu markayı asla kullanmayacagız,negative,eskiden çok kaliteliydi ama şu an üretilenler berbat eski ürünler kalın ve muhteşem emicilik ve kuruluk sağlıyordu şu an üretilenler çok ince ve her çiş sızdırıyor her çiş yapısından sonra bezle birlikte kıyafet te değişiyoruz eski kalitesine dönmediği sürece bu markayı asla kullanmayacağız,44,"[('markayı asla kullanmayacağız', 9.0), ('muhteşem emicilik', 4.0), ('çiş sızdırıyor', 4.0), ('eskiden', 1.0), ('kaliteliydi', 1.0), ('ince', 1.0)]","[('eski ürünler kalın', 9.0), ('markayı asla kullanmayacagız', 9.0), ('muhteşem emicilik', 4.0), ('kuruluk saglıyordu', 4.0), ('şuan üretilenler', 4.0), ('çiş sızdırıyor', 4.0), ('eskiden', 1.0), ('kaliteliydi', 1.0), ('ince', 1.0)]"
86,yenilenen primayı beğenmedim. çünkü sızdırıyor her seferinde kızımın  bütün kıyafetlerini değiştirmek zorunda kalıyorum. en başından beridir prima kullanıyordum şimdi hayal kırıklığı oldu açıkçası. umarım yorumlar dikkate alınır. siteden yana hiç bir sıkıntı yaşamadım.,negative,yenilenen primayı beğenmedim çünkü sızdırıyor her seferinde kızımın bütün kıyafetlerini değiştirmek zorunda kalıyorum en başından beridir prima kullanıyordum şimdi hayal kırıklığı oldu açıkçası umarım yorumlar dikkate alınır siteden yana hiç bir sıkıntı yaşamadım,5,"[('yenilenen primayı beğenmedim', 9.0), ('sıkıntı yaşamadım', 4.0), ('sızdırıyor', 1.0)]","[('yenilenen primayı beğenmedim', 9.0), ('siteden yana', 4.0), ('sıkıntı yaşamadım', 4.0), ('sızdırıyor', 1.0)]"
87,pri̇ma kali̇tesi̇ tartişilmaz tabi̇ki̇de ama i̇nternetten alinnan i̇le marketten aldiğiniz arasinda fark edi̇lecek bi̇r i̇nceli̇k söz konusu.,negative,prizma kalı̇tesi̇ tartışılmaz tabi̇ki̇de ama İnternet'ten alınan ile marketten aldığınız arasında fark edi̇leçek bir i̇nceli̇k söz konusu,16,"[('i̇nceli̇k söz konusu', 9.0), (""i̇nternet'ten alınan"", 4.0)]",[]
88,20 aylık kızıma doğduğundan beri prima alıyoruz. hatta sürekli hepsi buradadan aldık ve alışverişimizde hiçbir problem yaşamadık. ancak son iki aydır prima bez kalitesini değiştirdi ve daha kötü oldu. kızımın belinde kızarıklık yaptı ve aşırı sızdırıyor. bir daha kesinlikle prima almam. ,negative,aylık kızıma doğduğundan beri prima alıyoruz hatta sürekli hepsiburadadan aldık ve alışverişimizde hiçbir problem yaşamadık ancak son iki aydır prima bez kalitesini değiştirdi ve daha kötü oldu kızımın belinde kızarıklık yaptı ve aşırı sızdırıyor bir daha kesinlikle prima almam,5,"[('kesinlikle prima almam', 9.0), ('aşırı sızdırıyor', 4.0)]","[('kesinlikle prima almam', 9.0), ('hatta sürekli', 4.0), ('buradadan aldık', 4.0), ('ancak son', 4.0), ('kötü oldu', 4.0), ('aşırı sızdırıyor', 4.0)]"
89,yine hepsiburadaya devam ancak farklı bez tercihi ile.,negative,yine hepsiburadaya devam ancak farklı bez tercihi ile,40,[],[]
90,her zamankinden farklı geldi kalitesiz sizdiriyor tavsiye etmem,negative,her zamankinden farklı geldi kalitesiz sızdırıyor tavsiye etmem,42,[],[]
91,yeniledik demişler ama mahvetmisler bezi. kalite sıfır. müthiş sızdırıyor.emicilik falan kalmamıs.2 kutu almıştım bir de....başka bez alacağım artık. tavsiye etmiyorum ! ,negative,yeniledik demişler ama mahvetmişler bezi kalite sıfır müthiş sızdırıyoremicilik falan kalmamış kutu almıştım bir de başka bez alacağım artık tavsiye etmiyorum,25,"[('yeniledik demişler', 4.0)]","[('emicilik falan kalmamıs', 9.0), ('yeniledik demişler', 4.0), ('mahvetmisler bezi', 4.0), ('kalite sıfır', 4.0), ('müthiş sızdırıyor', 4.0), ('2 kutu almıştım', 4.0), ('tavsiye etmiyorum', 4.0)]"
92,"yaklaşık bir ay önce aldım bu ürünü.bez hiç iyi çıkmadı.sızdırma yapıyor,daha önce de almıştım böyle bir şey yok du.ama bu son ürün çok kötü tavsiye etmem",negative,yaklaşık bir ay önce aldım bu ürünübez hiç iyi çıkmadısızdırma yapıyordaha önce de almıştım böyle bir şey yok duama bu son ürün çok kötü tavsiye etmem,34,"[('ay önce aldım', 9.0), ('şey yok duama', 9.0), ('kötü tavsiye etmem', 9.0), ('almıştım böyle', 4.0), ('son ürün', 4.0), ('yaklaşık', 1.0), ('ürünübez', 1.0)]","[('şey yok du', 9.0), ('kötü tavsiye etmem', 9.0), ('ay önce aldım', 8.0), ('iyi çıkmadı', 4.0), ('sızdırma yapıyor', 4.0), ('almıştım böyle', 4.0), ('son ürün', 4.0), ('önce', 2.0), ('yaklaşık', 1.0), ('ürünü', 1.0)]"
93,oğlumun doğduğundan beri bu markayı kullanıyoruz.  i̇lk defa başımıza geldi. sizdirmasini münferit sandık. ancak son aldığımız kolideki her bez sizdiriyor. çişin çok olmasına da bağlı değil. çok yazık. prima markasının güvenilirliğini zedeliyor.,negative,oğlumun doğduğundan beri bu markayı kullanıyoruz ilk defa başımıza geldi sızdırmasını münferit sandık ancak son aldığımız kolideki her bez sızdırıyor çişin çok olmasına da bağlı değil çok yazık prima markasının güvenilirliğini zedeliyor,6,"[('oğlumun doğduğundan beri', 9.0), ('markayı kullanıyoruz ilk', 9.0), ('bez sızdırıyor çişin', 9.0), ('bağlı değil', 4.0), ('olmasına', 1.0)]","[('oğlumun doğduğundan beri', 9.0), ('sizdirmasini münferit sandık', 9.0), ('markayı kullanıyoruz', 4.0), ('başımıza geldi', 4.0), ('bez sizdiriyor', 4.0), ('bağlı değil', 4.0), ('i̇lk', 1.0), ('çişin', 1.0), ('olmasına', 1.0), ('yazık', 1.0)]"
94,yenilenen emici kanallar marka değerini düşürmüş. eski bezlerde torbalanma oluyordu ama kaliteliydi. bu yenilenen bezler bariz kalitesiz ve sızdırıyor.  artık prima almayacağım. i̇lk günden beri prima kullamıyorduk 16 ayın sonunda yollarımız ayrılıyor malesef.,negative,yenilenen emici kanallar marka değerini düşürmüş eski bezlerde torbalanılmasana oluyordu ama kaliteliydi bu yenilenen bezler biraz kalitesiz ve sızdırıyor artık prima almayacağım ilk günden beri prima kullanıyorduk ayın sonunda yollarımız ayrılıyor maalesef,7,"[('kaliteliydi', 1.0)]","[('artık prima almayacağım', 9.0), ('kaliteliydi', 1.0), ('sızdırıyor', 1.0)]"
95,"yorumlara bakmadan prima kalitesine güvenerek 2 adet sipariş vermiştim, ancak yorumları okuyup ürünü hemen açıp denedik ürün gerçekten rus paketlerinde acayip koku ve incelik var, ürün eski ürünle hiç alakalı bir ürün değil kokusu rahatsız edici nasıl bitireceğiz aldığımız paketi düşünüyoruz, sızdırmama ihtimali kesin var uzun süre özellikle geceleri muhakkak bebeğinizi rahatsız etmek zorunda kalabilirsiniz, hepsi buradanın kargo olayı çok güzel ürün hemen geliyor ancak prima kalitesini acayip bozmuş, yada türkiyeye gönderdiği ürünleri kötü, alırken özellikle bu olumsuzlukları göz önüne getirin...",negative,yorumlara bakmadan prima kalitesine güvenerek adet sipariş vermiştim ancak yorumları okuyup ürünü hemen açıp denedik ürün gerçekten rus paketlerinde acayip koku ve incelik var ürün eski ürünle hiç alakalı bir ürün değil kokusu rahatsız edici nasıl bitireceğiz aldığımız paketi düşünüyoruz sızdırmama ihtimali kesin var uzun süre özellikle geceleri muhakkak bebeğinizi rahatsız etmek zorunda kalabilirsiniz hepsiburadanın kargo olayı çok güzel ürün hemen geliyor ancak prima kalitesini acayip bozmuş yada türkiyeye gönderdiği ürünleri kötü alırken özellikle bu olumsuzlukları göz önüne getirin,13,"[('alakalı', 1.0)]","[('ürün eski ürünle', 9.0), ('buradanın kargo olayı', 9.0), ('incelik var', 4.0), ('alırken özellikle', 4.0), ('alakalı', 1.0)]"
96,maalesef ilk kez eksik not aldı prima bizden. her gece 20 aylık bebeğimin bezi sızdı ve bize büyük sıkıntı çıkardı. önceki bezlere göre daha ince ve kalitesiz. bunu 1 hafta kullandıktan sonra fark ettik. bu da doğal olarak çocuğun uykusuna ve bize büyük sorun yarattı.i̇lginç bir detay; ürünün dış kutusunda rusça yazılar var.,negative,maalesef ilk kez eksik not aldı prima bizden her gece aylık bebeğimin bezi sızdı ve bize büyük sıkıntı çıkardı önceki bezlere göre daha ince ve kalitesiz bunu hafta kullandıktan sonra fark ettik bu da doğal olarak çocuğun uykusuna ve bize büyük sorun yarattıi̇lginç bir detay ürünün dış kutusunda rusça yazılar var,5,"[('maalesef ilk', 4.0), ('ince', 1.0), ('kalitesiz', 1.0)]","[('önceki bezlere göre', 9.0), ('maalesef ilk', 4.0), ('ince', 1.0), ('kalitesiz', 1.0), ('i̇lginç', 1.0), ('detay', 1.0)]"
