id,texts,labels,PREPROCESSED_texts,SENTIMENT_PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,LANG_PREPROCESSED_texts
94,yenilenen emici kanallar marka değerini düşürmüş. eski bezlerde torbalanma oluyordu ama kaliteliydi. bu yenilenen bezler bariz kalitesiz ve sızdırıyor.  artık prima almayacağım. i̇lk günden beri prima kullamıyorduk 16 ayın sonunda yollarımız ayrılıyor malesef.,negative,yenilenen emici kanallar marka değerini düşürmüş eski bezlerde torbalanılmasana oluyordu kaliteliydi yenilenen bezler biraz kalitesiz sızdırıyor prima almayacağım ilk günden prima kullanıyorduk ayın sonunda yollarımız ayrılıyor maalesef,negative,3,tr
95,"yorumlara bakmadan prima kalitesine güvenerek 2 adet sipariş vermiştim, ancak yorumları okuyup ürünü hemen açıp denedik ürün gerçekten rus paketlerinde acayip koku ve incelik var, ürün eski ürünle hiç alakalı bir ürün değil kokusu rahatsız edici nasıl bitireceğiz aldığımız paketi düşünüyoruz, sızdırmama ihtimali kesin var uzun süre özellikle geceleri muhakkak bebeğinizi rahatsız etmek zorunda kalabilirsiniz, hepsi buradanın kargo olayı çok güzel ürün hemen geliyor ancak prima kalitesini acayip bozmuş, yada türkiyeye gönderdiği ürünleri kötü, alırken özellikle bu olumsuzlukları göz önüne getirin...",negative,yorumlara bakmadan prima kalitesine güvenerek adet sipariş vermiştim yorumları okuyup ürünü hemen açıp denedik ürün gerçekten rus paketlerinde acayip koku incelik ürün eski ürünle alakalı ürün kokusu rahatsız edici bitireceğiz aldığımız paketi düşünüyoruz sızdırmama ihtimali kesin uzun süre özellikle geceleri muhakkak bebeğinizi rahatsız etmek zorunda kalabilirsiniz buralanın kargo olayı güzel ürün hemen geliyor prima kalitesini acayip bozmuş yada türkiyeye gönderdiği ürünleri kötü alırken özellikle olumsuzlukları göz önüne getirin,negative,1,tr
96,maalesef ilk kez eksik not aldı prima bizden. her gece 20 aylık bebeğimin bezi sızdı ve bize büyük sıkıntı çıkardı. önceki bezlere göre daha ince ve kalitesiz. bunu 1 hafta kullandıktan sonra fark ettik. bu da doğal olarak çocuğun uykusuna ve bize büyük sorun yarattı.i̇lginç bir detay; ürünün dış kutusunda rusça yazılar var.,negative,maalesef ilk eksik not aldı prima gece aylık bebeğimin bezi sizlerdi büyük sıkıntı çıkardı önceki bezlere ince kalitesiz hafta kullandıktan fark ettik doğal çocuğun uykusuna büyük sorun yarattıi̇lginç detay ürünün dış kutusunda rusça yazılar,negative,0,tr
97,uzun suredir kullaniyorum. yenilenen paket berbat cok cok kotu. her sabah ust degistiriyoruz. ortasindan ve on kismindan surekli sizdiriyo. 12 saat degil 5-6 saat bile kuru kalmiyo. alacak olanlara kesinlikle tavsiye etmiyorum. umarim prima urunlerini toplatir,negative,uzun süredir kullanıyorum yenilenen paket berbat çok çok kötü sabah üst değiştiriyoruz ortasından kısmından sürekli sızdırıyo saat değil saat kuru kalmıyor alacak olanlara kesinlikle tavsiye etmiyorum umarım prima ürünlerini toplatır,negative,3,tr
98,i̇nce sızdırıyor ve kalitesiz ve yapışkan bantları tutmuyor . bir daha almayacağım. ,negative,ince sızdırıyor kalitesiz yapışkan bantları tutuyor almayacağım,negative,1,tr
99,bu fiyata prima çok iyi dedim. primadan yana bi sıkıntımız yoktu ancak son yeşil paketler gerçekten kötü. ürün incelmiş çok kokulu ve dahası sırttan sozdırıyor. kutuların üzerinde rusça yazılar var almayın derim.,negative,fiyata prima iyi dedim primadan yana bir sıkıntımız yoktu son yeşil paketler gerçekten kötü ürün incelmiş kokulu dahası sırttan sezdiriyor kutuların üzerinde rusça yazılar almayın derim,negative,2,tr
100,ürünü 2 hafda once aldim fiyati iyi yanliz ürün kaliteli değil sizdiriyo ve yapışkanları kopuyor bezlerken ,negative,ürünü hafta önce aldım fiyatı iyi yanlız ürün kaliteli sızdırıyor yapışkanları kopuyor bezlerken,negative,4,tr
101,"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, haftada bir kez kesin gece sızdırıyor, sanırım emicilik az veya çocuk fazla idrar yapıyor olabilir (!!!)",negative,yıllık paketteki bezler kampanyalı olanlar çok ince gündüzleri değil geceleri sızdırıyor memnun kalmadım primadan haftada kesin gece sızdırıyor sanırım emicilik çocuk fazla idrar olabilir,negative,3,tr
102,paketinde rusça yazılar yazan kutuların içindeki bezler  ile paketinde tamamen türkçe yazılar yazan kutuların içindeki bezler çok farklı. dışardan gelenler çok daha ince ve anormal ölçüde sızdırıyor. aktif emici kanallı bezler çıkıncaya kadar prima çok süper iş görüyordu ancak bu son ürünlerde sızdırma problemi çok fazla. bu şikayette bulunan kişilere de tamamen katılıyorum.  bebeğimin doğumundan bu yana kullandığımız ürünler son derece kaliteliydi ama  bu son versiyon ürünlerin kalitesizliği prima kalitesine hiç yakışmadı... prima yetkililerinin piyasadaki bu farklı kalitede satılan ürünlere müdahale etmesinii bekliyorum.tüketicisine saygısını göstermeli ve marka değerini korumalıdır...,negative,paketinde rusça yazılar yazan kutuların içindeki bezler paketinde türkçe yazılar yazan kutuların içindeki bezler farklı dışarıdan gelenler ince anormal ölçüde sızdırıyor aktif emici kanallı bezler çıkıncaya prima süper iş görüyordu son ürünlerde sızdırma problemi fazla şikayette bulunan kişilere katılıyorum bebeğimin doğumundan yana kullandığımız ürünler son derece kaliteliydi son versiyon ürünlerin kalitesizliği prima kalitesine yakışmadı prima yetkililerinin piyasadaki farklı kalitede satılan ürünlere müdahale etmesini bekliyorumtüketicisine saygısını göstermeli marka değerini korumalıdır,negative,0,tr
103,memnun değilim yeni primadan sızdırıyor ve kötü kokuyor,negative,memnun değilim yeni primadan sızdırıyor kötü kokuyor,negative,3,tr
104,eski prima daha iyidi  bu sizdiriyor yeşil tabaka li incecik  birde.  ,negative,eski prima iyidir sızdırıyor yeşil tabakalı incecik birde,negative,3,tr
105,yeni yeşil bezler hiç güzel değil çok ince ve hiç bir güven hissi vermemektedir. prima kadar önemli bir firma bu şekilde kötü bir bez seçmesi veya tasarlaması çok kötü bence saygılar,negative,yeni yeşil bezler güzel ince güven hissi vermemektedir prima önemli firma kötü bez seçmesi tasarlaması kötü bence saygılar,negative,3,tr
106,evet yenilendi inceldi bezler eskileri gibi suyu tutmuyor sizdiriyor memnun değiliz bizde ama marketler de aynı ürün var :( eskiden 12 sattı bile sızdırma olmuyordu şimdi 5 saati geçmiyor ,negative,evet yenilendi inceldi bezler eskileri suyu tutuyor sızdırıyor memnun değiliz bizde marketler aynı ürün eskiden sattı sızdırma olmuyordu saati geçmiyor,negative,2,tr
107,çok kötü hiç bir bebek bezinde bu kadar islakligi dışarı verdiğini görmemiştim hiç bez yok gibi çiş olduğu gibi disarda,negative,kötü bebek bezinde ıslaklığı dışarı verdiğini görmemiştim bez yok çiş dışarıda,negative,0,tr
108,yeni oluklu prima eskiye göre ince ve bence eskisi daha kaliteliydi. orjinal olup olmadığı tereddütü bile yaşadık. keşke değiştirmeseydi çok memnunduk ,negative,yeni oluklu prima eskiye ince bence eskisi kaliteliydi orjinal tereddüt yaşadık keşke değiştirmeseydi memnunduk,negative,3,tr
109,"son gelen urunden hic memnun kalmadım. bebegimde hic pisik problemi yasamamıstım ki hep prima kullanırım. urunle, serisiyle ilgili bir sıkıntı oldugunu dusunuyorum. ilk gunden itibaren bebegimde cok kotu bir pisik yaptı hala iyilestirmeye calısıyorum. 2 kutu almıstım birini actıgımdan dolayı digerini iade edebildim. tavsiye etmiyorum.",negative,son gelen üründen hiç memnun kalmadım bebeğimde hiç pişik problemi yasamamıştım prima kullanırım ürünle serisiyle sıkıntı olduğunu düşünüyorum ilk günden bebeğimde çok kötü pişik iyileştirmeye çalışıyor kutu almıştım birini açtığımızdan diğerini iade edebildim tavsiye etmiyorum,negative,3,tr
110,kesinlikle kötü. normal pakette satılanlarla aynı değil.,negative,kesinlikle kötü normal pakette satılanlarla aynı,negative,1,tr
111,"son aldığımız prima diğerlerinden daha ince ve de kötüsü sızdırıyor. eger prima ürünü bozmadıysa sahte bu. diger türlüde kandırıldık sayılır zaten, prima kalitesi deyip alıyorsun dandik çıkıyor.",negative,son aldığımız prima diğerlerinden ince kötüsü sızdırıyor eğer prima ürünü bozmadıysa sahte diğer türlüde kandırıldık sayılır prima kalitesi deyip alıyorsun dandik çıkıyor,negative,3,tr
112,rus malı kalitesiz tavsiye etmiyorum. türkiyedekilerden farklı ve daha ince,negative,rus malı kalitesiz tavsiye etmiyorum türkiyedekilerden farklı ince,negative,0,tr
113,"primanin yeni yeşil logolu bezi tamamen rezalet. sizdiriyor, kağıt gibi hiçbir işe yaramıyor.",negative,primanın yeni yeşil logolu bezi rezalet sızdırıyor kağıt işe yaramıyor,negative,0,tr
114,"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, degistiricez.",negative,aylık paketteki bezler kampanyalı olanlar çok ince gündüzleri değil geceleri sızdırıyor memnun kalmadık primadan değiştireceğiz,negative,3,tr
115,oğlum doğduğundan beri kullanıyorum son aldığımız paket sızdırıyor. aylık paket aldığım için 2 paket almıştım. eski üründen gayet memnundum yenilenen ürün kalitesiz.,negative,oğlum doğduğundan kullanıyorum son aldığımız paket sızdırıyor aylık paket aldığım paket almıştım eski üründen gayet memnundum yenilenen ürün kalitesiz,negative,3,tr
116,pisik yapiyor sizdiriyor kizartiyor cok bereketsiz koku yapti,negative,pişik yapıyor sızdırıyor kızardırıyor çok bereketsiz koku yaptı,negative,3,tr
117,değerlendirmede ortalaması iyi olmasına aldanmayın..yapılan güzel yorumlar benim gibi eski üründen dolayı verilmiş puanlardan kaynaklı.. yenisini kardeşim kullandı berbat..kokuyor ve kaçırıyor...marka ivedi bir şekilde kendini yenilemeli..bugüne kadar primadan başka bez kullanmadım..şimdi piyasada eski bezlerden arıyorum...yada başka markaya yöneleceğim..,negative,değerlendirmede ortalaması iyi olmasına aldanmayınyapılan güzel yorumlar eski üründen verilmiş puanlardan kaynaklı yenisini kardeşim kullandı berbatkokuyor kaçırıyormarka ivedi yenilemelibugüne primadan başka bez kullanmadımşimdi piyasada eski bezlerden arıyorumyada başka markaya yöneleceğim,negative,3,tr
118,i̇ki kez sipariş verdim ilk gelen bez cok iyiydi ama son gelen bez çok inceydi ,negative,iki sipariş verdim ilk gelen bez çok iyiydi son gelen bez inçeydi,negative,3,tr
119,"prima kalitesine hiç yakışmayan bir bez üretmişsiniz, artık başka markaya geçeceğiz.  çiş devamlı üstüne çıkıyor, her gece üst baş değişiyoruz. çok yazık.",negative,prima kalitesine yakışmayan bez üretmişsiniz başka markaya geçeceğiz çiş devamlı üstüne çıkıyor gece üst baş değişiyoruz yazık,negative,4,tr
120,prima rusca yazan paketindeki urunler feci sizdiriyor ve cocugu rahatsiz ediyor. daha once aldigim urunler daha kalin ve sizdirmiyordu. istedigim urun satisa sunulmayana kadar alisveris yapmayi dusunmuyorum.,negative,prima rusça yazan paketindeki ürünler feci sızdırıyor çocuğu rahatsız önce aldığım ürünler kalın sızdırmıyordu istediğim ürün satışa sunulmayana alışveriş yapmayı düşünmüyorum,negative,3,tr
121,"acilen tüm ürünlerinizi toplatın lütfen, paramıza yazık olmasın diye mecbur kullandık ama hep dışarı sızdırıyor, hiç olmadı yakışmadı size prima yetkilileri....",negative,acilen ürünlerinizi toplatsanıza lütfen paramıza yazık olmasın mecbur kullandık dışarıya sızdırıyor yakışmadı prima yetkilileri,negative,3,tr
122,berbat bebeğimin altı hep nemli kalıo bulursanız eskisini alın derim resmen hayal kırıklığı 12saate kadar kuruluk diyor ama emin olun 2 çişte sızıo ve ıslanıo kıyafetleri üretim hatası olmuş resmen bir daha da prima almam ,negative,berbat bebeğimin nemli kalır bulursanız eskisini alın derim resmen hayal kırıklığı saate kuruluk diyor emin olun çiste sizi ıslanıp kıyafetleri üretim hatası olmuş resmen prima almam,negative,0,tr
123,kızım 20 aylık oldu. bu zaman kadar bir sıkıntım yoktu. yeni gelen koliden çıkan bezler ince ve rahatsız edici pişik yapmaya başladı. son iki koli aldım bin pişman oldum aldığıma. gidin en kötü bezi kullanın bunu almayın şiddetle tavsiye etmiyorum haberiniz olsun,negative,kızım aylık zaman sıkıntım yoktu yeni gelen koliden çıkan bezler ince rahatsız edici pişik yapmaya başladı son koli aldım pişman oldum aldığıma gidin kötü bezi kullanın almayın şiddetle tavsiye etmiyorum haberiniz,negative,3,tr
124,bebegimin butun bezlerini hb dan aldim hepsi bugune kadar superdi fakat bu son paket com sıkıntıli devamli arkadan sizdiriyor esim herseferinde ustbas degistirmek zorunda kaliyor bir koli bez cop olacak bi gidisle bir an once hb buna cozum bulursa seviniriz bu urunu satistan cikartmaniz dilegiyle,negative,bebeğimin bütün bezlerini hb aldım bugüne süperdi son paket çömsene sıkıntılı devamlı arkadan sızdırıyor eşim her seferinde üstbas değiştirmek zorunda kalıyor koli bez çöp olacak bir gidişle an önce hb çözüm bulursa seviniriz ürünü satıştan çıkartmanız dileğiyle,negative,4,tr
125,yeni ürünler daha emici diye reklam yapılıyor ama eskisine nazaran daha çok sızdırıyor. kullanım ve rahatlık olarak eskilerinden daha iyi ama sızdırmazlık kötü. ,negative,yeni ürünler emici reklam yapılıyor eskisine nazaran sızdırıyor kullanım rahatlık eskilerinden iyi sızdırmazlık kötü,negative,4,tr
126,son aldığım 2 koli prima mega box  5 numara ürünleri kalitesiz çıktı.ürün rusya yapımı prima kalitesi ile alakası yok içindeki emici zerreciklerin az olması bezin ince olması ambalajın ince olması ve en önemlisi ıslaklığı hemen dışa vermesi emici özelliği hiç yok.bu rusya yapımı ürünleri bence daha satılmamalı ve toplatılmalı ben şim di bu ay prima almayıp başka bir marka alacağım işin açıkcası...teşekkürler.,negative,son aldığım koli prima mega box numara ürünleri kalitesiz çıktıürün rusya yapımı prima kalitesi alakası yok içindeki emici zerreciklerin bezin ince ambalajın ince önemlisi ıslaklığı hemen dışa vermesi emici özelliği yoktu rusya yapımı ürünleri bence satılmamalı toplatınılmalı şimdi ay prima almayıp başka marka alacağım işin açıkcasıteşekkürler,negative,3,tr
127,ne olmuş prima yenilik yapacağız derken batirmislar. bez çok fazla sizdiriyor,negative,ölmüş prima yenilik yapacağız derken batırmışlar bez fazla sızdırıyor,negative,2,tr
128,yorumlara aldanarak aldık ama çok pişmanım her kaka yaptığında az da yapsa çok ta yapsa mutlaka ama mutlaka bacaklarından yada sırtından taşırıyor her alt değiştiğimizde kıyafette değiştiriyoruz bu bezin sayesinde.. kalan paketleri çöpe atıcam böyle bişey olamaz ... kaliteli marka diye aldanıp sakın satın almayın sinir sahibi olursunuz... görüp görebileceğiniz en kötü bez olduğuna emin olun başka ne diyim sakın ama sakın satın almayın!!!!!!!!,negative,yorumlara aldanarak aldık pişmanım kaka yaptığında yapsa yapsa mutlaka mutlaka bacaklarından yada sırtından taşırıyor alt değiştiğimizde kıyafette değiştiriyoruz bezin sayesinde kalan paketleri çöpe atacağım bir şey olamaz kaliteli marka aldanıp sakın satın almayın sinir sahibi olursunuz görüp görebileceğiniz kötü bez olduğuna emin olun başka deyim sakin sakin satın almayın,negative,4,tr
129,"ürün çok kötü olmuş, ilk kalitesinde değil.. kesinlikle para vermenin değmeyeceğini düşünüyorum bu beze ",negative,ürün kötü olmuş ilk kalitesinde kesinlikle para vermenin değmeyeceğini düşünüyorum beze,negative,1,tr
130,yeni ürün incelmis. cok hafif. ancak çok sızdırıyor. bir ayda biten kutu bu sefer 3 hafta dayanmadi. degistirmezlerse almicam. öncekiler daha iyiydi.,negative,yeni ürün incelmiş çok hafif sızdırıyor ayda biten kutu sefer hafta dayanılmadı değiştirmezlerse Almira'm öncekiler iyiydi,negative,1,tr
